Bank_Transaction_ID,Transaction_Ref,Date,Bank_Amount,Bank_Account,Reconciliation_Status
BTXN-800000,TXN-500000,2025-06-04,19610.2,8956241004,Matched
BTXN-800001,TXN-500001,2025-08-18,17699.01,4341520426,Matched
BTXN-800002,TXN-500002,2025-06-28,6958.17,9512542128,Matched
BTXN-800003,TXN-500003,2025-09-20,8920.94,3033026660,Matched
BTXN-800004,TXN-500004,2024-01-26,14469.37,8951762758,Matched
BTXN-800005,TXN-500005,2024-12-21,9665.3,6721340673,Matched
BTXN-800006,TXN-500006,2025-03-02,3255.3,1566690394,Matched
BTXN-800007,TXN-500007,2025-06-20,949.63,9489272229,Matched
BTXN-800008,TXN-500008,2024-08-24,303.68,9445621550,Matched
BTXN-800009,TXN-500009,2025-10-03,10859.99,6004371016,Matched
BTXN-800010,TXN-500010,2025-06-21,8339.67,6267057688,Matched
BTXN-800011,TXN-500011,2025-01-25,18067.09,3832965940,Matched
BTXN-800012,TXN-500012,2024-07-04,11174.26,2365332873,Matched
BTXN-800013,TXN-500013,2025-03-13,7059.22,9980383817,Matched
BTXN-800014,TXN-500014,2024-06-20,15735.52,9181107079,Matched
BTXN-800015,TXN-500015,2024-08-18,8621.55,5280404743,Matched
BTXN-800016,TXN-500016,2025-02-18,17479.4,6500073878,Matched
BTXN-800017,TXN-500017,2025-08-13,3995.9,3747214072,Matched
BTXN-800018,TXN-500018,2024-11-29,6117.9,7934421846,Matched
BTXN-800019,TXN-500019,2025-01-29,17653.28,5975424678,Matched
BTXN-800020,TXN-500020,2024-12-09,10501.35,6659610796,Matched
BTXN-800021,TXN-500021,2025-05-24,14894.81,8279527357,Matched
BTXN-800022,TXN-500022,2024-02-25,629.17,5005235568,Matched
BTXN-800023,TXN-500023,2025-11-30,12674.25,1162131369,Matched
BTXN-800024,TXN-500024,2025-01-28,2437.73,1920372091,Matched
BTXN-800025,TXN-500025,2025-03-15,17852.0,3702588500,Matched
BTXN-800026,TXN-500026,2024-04-28,12218.71,8235373524,Matched
BTXN-800027,TXN-500027,2024-08-30,3911.53,9430836018,Matched
BTXN-800028,TXN-500028,2025-07-11,10565.94,7951906715,Matched
BTXN-800029,TXN-500029,2024-12-04,15800.23,9385292273,Matched
BTXN-800030,TXN-500030,2025-04-12,10447.1,1685721679,Matched
BTXN-800031,TXN-500031,2025-05-08,6581.47,6630704729,Matched
BTXN-800032,TXN-500032,2024-09-08,1287.78,2141535027,Matched
BTXN-800033,TXN-500033,2024-07-15,5831.72,8425901572,Matched
BTXN-800034,TXN-UNKN-1975,2025-10-28,2272.44,5106084820,Missing
BTXN-800035,TXN-500035,2025-01-06,6571.85,9664417986,Matched
BTXN-800036,TXN-500036,2024-11-08,8882.09,2345385709,Matched
BTXN-800037,TXN-500037,2024-02-27,8313.33,6564423710,Matched
BTXN-800038,TXN-500038,2024-10-29,19931.91,3924452444,Matched
BTXN-800039,TXN-500039,2025-06-10,4099.7,5646163582,Matched
BTXN-800040,TXN-500040,2025-01-11,3746.27,9184153709,Matched
BTXN-800041,TXN-500041,2025-04-29,2872.21,4094920787,Matched
BTXN-800042,TXN-500042,2024-11-09,6122.54,6249102171,Matched
BTXN-800043,TXN-500043,2024-11-21,13491.01,3944410737,Matched
BTXN-800044,TXN-500044,2024-06-08,15017.78,2470695744,Matched
BTXN-800045,TXN-500045,2025-01-09,4520.18,5433120794,Matched
