Bank_Transaction_ID,Transaction_Ref,Date,Bank_Amount,Bank_Account,Reconciliation_Status
BTXN-865472,TXN-500000,2024-11-06,8043.51,7558494532,Matched
BTXN-722393,TXN-500001,2025-06-13,6249.36,7247342430,Matched
BTXN-719347,TXN-500002,2025-10-01,7914.07,2725840325,Partial
BTXN-723082,TXN-500003,2024-10-16,5360.69,5821842592,Matched
BTXN-859973,TXN-500004,2024-07-01,1165.55,4818728213,Matched
BTXN-809365,TXN-500005,2025-11-25,8763.59,5821842592,Matched
BTXN-706093,TXN-500006,2025-10-14,565.71,7247342430,Matched
BTXN-859215,TXN-500007,2024-06-17,8413.6,7247342430,Partial
BTXN-700212,TXN-500008,2025-04-12,474.85,4818728213,Matched
BTXN-710686,TXN-500009,2024-04-27,7834.04,7558494532,Matched
BTXN-751057,TXN-500010,2024-03-14,3952.14,2725840325,Matched
BTXN-773566,TXN-500011,2025-04-05,316.02,4818728213,Partial
BTXN-757509,TXN-500012,2025-08-03,890.36,2725840325,Matched
BTXN-844404,TXN-500013,2024-02-05,6419.38,2725840325,Matched
BTXN-715680,TXN-500014,2024-08-23,4911.77,7247342430,Matched
BTXN-802336,TXN-500015,2024-08-04,5377.14,5821842592,Matched
BTXN-775204,TXN-500016,2024-06-12,8634.39,7558494532,Matched
BTXN-725168,TXN-500017,2025-08-30,8947.76,7247342430,Partial
BTXN-716874,TXN-500018,2025-09-20,476.84,2725840325,Matched
BTXN-725686,TXN-500019,2025-05-12,3277.82,7247342430,Matched
BTXN-891316,TXN-500020,2025-07-20,8617.54,5821842592,Matched
BTXN-779319,TXN-500021,2025-05-02,9747.37,7247342430,Matched
BTXN-799465,TXN-500022,2025-06-17,5686.74,5821842592,Matched
BTXN-709552,TXN-500023,2025-01-24,4615.16,7247342430,Matched
BTXN-796524,TXN-500024,2024-07-03,2267.57,2725840325,Partial
BTXN-798107,TXN-500025,2024-09-24,3294.5,5821842592,Matched
BTXN-830363,TXN-500026,2025-02-21,3933.9,2725840325,Matched
BTXN-766976,TXN-500027,2025-12-15,1794.67,5821842592,Matched
BTXN-884736,TXN-500028,2024-12-15,4463.0,4818728213,Matched
BTXN-881068,TXN-500029,2025-12-11,542.05,2725840325,Matched
BTXN-750399,TXN-500030,2025-10-15,2302.73,4818728213,Matched
BTXN-762085,TXN-500031,2025-07-14,6529.19,2725840325,Matched
BTXN-787145,TXN-500032,2024-12-13,5894.88,7247342430,Matched
BTXN-749297,TXN-500033,2024-05-16,5404.37,2725840325,Matched
BTXN-736428,TXN-500034,2024-02-02,9866.11,4818728213,Matched
BTXN-767428,TXN-500035,2024-12-01,5831.89,4818728213,Matched
BTXN-876597,TXN-500036,2024-10-02,3871.31,4818728213,Matched
BTXN-706013,TXN-500037,2025-05-29,3699.38,5821842592,Matched
BTXN-710457,TXN-500038,2025-03-22,1497.19,7558494532,Matched
BTXN-770702,TXN-500039,2025-08-10,7254.82,5821842592,Matched
BTXN-729776,TXN-500040,2025-05-27,9600.33,2725840325,Matched
BTXN-842017,TXN-500041,2024-06-10,5705.72,7558494532,Matched
BTXN-793137,TXN-500042,2024-07-20,1894.51,4818728213,Matched
BTXN-890599,TXN-500043,2025-07-15,9726.15,7558494532,Partial
BTXN-774979,TXN-500044,2025-12-28,4552.47,7558494532,Matched
BTXN-846483,TXN-500045,2025-01-07,4688.4,7247342430,Matched
BTXN-802429,TXN-500046,2025-11-21,5156.24,7558494532,Matched
BTXN-812765,TXN-500047,2025-08-15,5664.15,2725840325,Partial
BTXN-768194,TXN-500048,2025-09-14,4100.47,5821842592,Matched
BTXN-783841,TXN-500049,2025-06-28,2608.98,7558494532,Matched
BTXN-895883,TXN-500050,2025-11-28,3786.24,7558494532,Matched
BTXN-717333,TXN-500051,2024-06-20,4043.95,4818728213,Matched
BTXN-834853,TXN-500054,2025-06-16,3218.62,7247342430,Matched
BTXN-825822,TXN-500055,2024-06-08,783.15,7558494532,Matched
BTXN-801463,TXN-500056,2024-08-14,8707.18,2725840325,Matched
BTXN-721720,TXN-500057,2024-05-27,9751.36,7558494532,Matched
BTXN-864503,TXN-500058,2024-07-09,1993.5,5821842592,Matched
BTXN-890192,TXN-500059,2025-07-14,3852.24,4818728213,Partial
BTXN-804943,TXN-500060,2024-03-30,1002.86,4818728213,Matched
BTXN-884717,TXN-500061,2025-02-04,2772.2,4818728213,Matched
BTXN-710954,TXN-500062,2024-08-14,1742.2,7247342430,Matched
BTXN-817138,TXN-500063,2025-11-14,3842.14,7558494532,Matched
BTXN-869547,TXN-500064,2025-08-12,9960.98,2725840325,Matched
BTXN-719194,TXN-500065,2024-06-08,7316.32,4818728213,Matched
BTXN-736782,TXN-500066,2025-06-16,8453.44,7558494532,Matched
BTXN-710116,TXN-500067,2024-07-11,4405.76,7558494532,Matched
BTXN-708031,TXN-500068,2025-02-24,6986.48,5821842592,Matched
BTXN-820927,TXN-500069,2024-03-13,6514.13,5821842592,Matched
BTXN-849781,TXN-500070,2025-02-08,1118.17,4818728213,Matched
BTXN-794341,TXN-500071,2025-09-16,1629.91,7247342430,Matched
BTXN-878756,TXN-500072,2025-06-28,631.97,7558494532,Matched
BTXN-706569,TXN-500073,2024-10-14,7496.04,7558494532,Matched
BTXN-757916,TXN-500074,2025-05-15,3138.86,7558494532,Matched
BTXN-771101,TXN-500075,2025-08-17,2865.95,7247342430,Matched
BTXN-704771,TXN-500076,2025-09-04,4118.57,5821842592,Matched
BTXN-897814,TXN-500077,2024-03-06,2348.47,7247342430,Matched
BTXN-746212,TXN-500078,2025-12-04,3135.93,7247342430,Matched
BTXN-814242,TXN-500079,2024-03-21,1811.83,2725840325,Matched
BTXN-732707,TXN-500080,2025-12-06,781.61,7247342430,Matched
BTXN-798704,TXN-500081,2024-11-29,8278.06,5821842592,Matched
BTXN-806383,TXN-500082,2025-01-06,2719.14,7558494532,Partial
BTXN-849366,TXN-500083,2025-01-26,451.41,7247342430,Matched
BTXN-817656,TXN-500084,2025-12-25,6246.67,7558494532,Matched
BTXN-841923,TXN-500085,2024-10-05,9804.07,4818728213,Matched
BTXN-802496,TXN-500086,2025-04-27,3047.72,7558494532,Matched
BTXN-865236,TXN-500087,2024-05-22,6426.27,7558494532,Matched
BTXN-841885,TXN-500088,2025-08-08,4841.31,5821842592,Matched
BTXN-889006,TXN-500089,2024-08-10,1558.07,7247342430,Matched
BTXN-818663,TXN-500090,2024-12-08,800.7,5821842592,Matched
BTXN-750480,TXN-500091,2025-12-30,5953.22,7558494532,Matched
BTXN-813126,TXN-500092,2024-03-03,8999.94,2725840325,Partial
BTXN-742915,TXN-500093,2025-12-29,1188.68,4818728213,Matched
BTXN-758145,TXN-500094,2025-10-05,5466.2,7558494532,Matched
BTXN-789486,TXN-500095,2024-05-29,2099.37,7247342430,Matched
BTXN-897023,TXN-500096,2025-11-30,2794.51,7247342430,Matched
BTXN-723436,TXN-500097,2025-07-04,9854.03,5821842592,Matched
BTXN-887092,TXN-500098,2024-01-12,7716.87,4818728213,Matched
BTXN-783153,TXN-500099,2024-04-05,857.83,2725840325,Matched
BTXN-864818,TXN-500100,2024-05-30,4705.74,7247342430,Matched
BTXN-856896,TXN-500101,2025-06-14,2713.22,2725840325,Matched
BTXN-817667,TXN-500102,2025-08-30,4434.67,4818728213,Matched
BTXN-843334,TXN-500103,2024-07-02,2788.07,7247342430,Matched
BTXN-830045,TXN-500104,2025-09-11,9715.73,5821842592,Matched
BTXN-747521,TXN-500105,2025-11-09,3630.89,2725840325,Partial
BTXN-805388,TXN-500106,2024-02-06,5947.32,5821842592,Matched
BTXN-850916,TXN-500107,2025-01-19,733.91,2725840325,Matched
BTXN-806218,TXN-500108,2025-10-05,1584.12,7558494532,Matched
BTXN-766734,TXN-500109,2025-09-04,3965.84,7558494532,Matched
BTXN-768003,TXN-500110,2025-05-02,3140.86,4818728213,Matched
BTXN-726585,TXN-500111,2024-09-05,1824.72,4818728213,Matched
BTXN-876001,TXN-500112,2025-10-16,8905.57,7247342430,Matched
BTXN-833172,TXN-500113,2024-01-21,7668.92,7247342430,Matched
